sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMEA5612036,ERR3330531,2016-06-07,2016-06-06,2016-06-07,Kenya,,human,ILLUMINA,Illumina HiSeq 4000,WGS,2016,06,07,,,False
SAMEA5612046,ERR3330541,2016-06-08,2016-06-07,2016-06-08,Kenya,,household environment,ILLUMINA,Illumina HiSeq 4000,WGS,2016,06,08,,,False
SAMD00049928,DRR058061,2015-10,2015-09-30,2015-10-31,Japan,missing,,ILLUMINA,Illumina MiSeq,WGS,2015,10,,,,False
SAMD00049923,DRR058066,2015-10,2015-09-30,2015-10-31,Japan,missing,,ILLUMINA,Illumina MiSeq,WGS,2015,10,,,,False
SAMD00049924,DRR058065,2015-10,2015-09-30,2015-10-31,Japan,missing,,ILLUMINA,Illumina MiSeq,WGS,2015,10,,,,False
SAMEA5618974,ERR3333480,2004-01-14,2004-01-14,2004-01-14,France,,Diarrhea,ILLUMINA,Illumina MiSeq,WGS,2004,01,14,,,False
SAMEA5619032,ERR3333538,2004-01-22,2004-01-22,2004-01-22,France,,Mastitis,ILLUMINA,Illumina MiSeq,WGS,2004,01,22,,,False
SAMEA5619068,ERR3333574,2007-06-01,2007-05-31,2007-06-01,Germany,,Mastitis,ILLUMINA,Illumina MiSeq,WGS,2007,06,01,,,False
SAMD00065691,DRR075676,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065696,DRR075681,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065699,DRR075684,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065700,DRR075685,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065701,DRR075686,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065704,DRR075689,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065707,DRR075692,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065708,DRR075693,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065709,DRR075694,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065710,DRR075695,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065712,DRR075697,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065713,DRR075698,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065714,DRR075699,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065715,DRR075700,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065716,DRR075701,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065718,DRR075703,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065724,DRR075709,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065730,DRR075715,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065731,DRR075716,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065733,DRR075718,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065737,DRR075722,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065741,DRR075726,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065742,DRR075727,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065746,DRR075731,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065748,DRR075733,2014-03-11,2014-03-11,2014-03-11,missing,MDS42,,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,11,,,False
SAMD00065756,DRR075741,2016-03-14,2016-03-14,2016-03-14,missing,K-12;missing,,ILLUMINA,Illumina MiSeq,WGS,2016,03,14,,,False
SAMD00065758,DRR075743,2016-03-14,2016-03-14,2016-03-14,missing,K-12;missing,,ILLUMINA,Illumina MiSeq,WGS,2016,03,14,,,False
SAMD00065759,DRR075744,2016-03-14,2016-03-14,2016-03-14,missing,K-12;missing,,ILLUMINA,Illumina MiSeq,WGS,2016,03,14,,,False
SAMD00065760,DRR075745,2016-03-14,2016-03-14,2016-03-14,missing,K-12;missing,,ILLUMINA,Illumina MiSeq,WGS,2016,03,14,,,False
SAMD00065960,DRR075928,2015-03-06,2015-03-06,2015-03-06,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,03,06,,,False
SAMD00065965,DRR075933,2015-03-06,2015-03-06,2015-03-06,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,03,06,,,False
SAMD00065969,DRR075937,2015-03-06,2015-03-06,2015-03-06,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,03,06,,,False
SAMD00065971,DRR075939,2015-03-06,2015-03-06,2015-03-06,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,03,06,,,False
SAMD00065975,DRR075943,2015-03-06,2015-03-06,2015-03-06,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,03,06,,,False
SAMD00065980,DRR075948,2015-01-23,2015-01-23,2015-01-23,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,01,23,,,False
SAMD00065981,DRR075949,2015-01-23,2015-01-23,2015-01-23,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,01,23,,,False
SAMD00065984,DRR075952,2015-01-23,2015-01-23,2015-01-23,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,01,23,,,False
SAMD00065985,DRR075953,2015-01-23,2015-01-23,2015-01-23,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,01,23,,,False
SAMD00065989,DRR075957,2015-01-23,2015-01-23,2015-01-23,missing,K-12,,ILLUMINA,Illumina MiSeq,WGS,2015,01,23,,,False
