name,date
SAMN16354230,2020-09
SAMN16354262,2020-09
SAMN16354272,2020-09
SAMN16363894,2020-03
SAMN16363916,2020-01
SAMN16364031,2020-08
SAMN16364060,2020-09
SAMN16364094,2020-06
SAMN16364124,2020-07
SAMN16364149,2020-08
SAMD00204261,2018-06-01
SAMD00204264,2018-06-01
SAMD00204265,2019-04-02
SAMD00204269,2018-06-01
SAMN18410372,2020-04-29
SAMD00204260,2018-06-01
SAMD00204262,2018-06-01
SAMD00204263,2018-06-01
SAMD00204266,2019-04-02
SAMD00204267,2019-04-02
SAMD00204268,2019-04-02
SAMD00204270,2018-06-01
SAMN19222227,2021-05
SAMN19222229,2021-05
SAMN19222225,2021-05
SAMN20013950,2021-06
SAMN20054820,2021-06
SAMN20550744,2021-02
SAMN20550756,2021-06
SAMN20550853,2020-10
SAMN20550913,2021-02
SAMN20550542,2021-01
SAMN20551386,2021-05
SAMN20550508,2021-02
SAMN20551019,2020-10
SAMN20550890,2020-12
SAMN20555456,2021-05
SAMN20584262,2021-02
SAMN20602940,2019-06
SAMN20606653,2019-01
SAMN20606751,2019-08
SAMN20606629,2019-03
SAMN20606692,2021-07
SAMN20550416,2020-12
SAMN20665686,2021-07
SAMD00495873,2013-08-26
SAMD00495874,2013-10-18
SAMD00495886,2013-10-16
SAMD00495887,2014-01-27
SAMD00495892,2014-06-14
SAMD00495893,2014-06-22
SAMD00495899,2014-05-21
SAMD00495900,2014-05-27
SAMD00495902,2014-07-22
SAMD00495904,2014-07-17
SAMD00495905,2014-07-24
SAMD00495907,2014-08-07
SAMD00495911,2014-08-13
SAMD00495913,2014-08-23
SAMD00495918,2014-10-02
SAMD00495920,2014-09-29
SAMD00495921,2014-09-24
SAMD00495925,2014-07-07
SAMD00495926,2014-08-26
SAMD00495927,2014-10-12
SAMD00495928,2014-10-03
SAMD00495930,2014-11-04
SAMD00495932,2013-10-09
SAMD00495933,2014-12-27
SAMD00495935,2014-12-05
SAMD00495938,2013-11-29
SAMD00495939,2014-08-13
SAMD00495940,2014-09-03
SAMD00495943,2015-08-13
SAMD00495946,2016-01-13
SAMD00495948,2015-11-25
SAMD00495952,2016-06-16
SAMD00495958,2016-07-08
SAMD00495959,2016-07-25
SAMD00495966,2016-08-22
SAMD00495967,2016-07-29
SAMD00495969,2016-08-30
SAMD00495975,2016-10-04
SAMD00495979,2016-09-27
SAMD00495985,2016-11-15
SAMD00495898,2014-05-02
SAMD00495876,2013-10-17
SAMD00495877,2013-08-18
SAMD00495878,2013-11
SAMD00495880,2014-01-10
SAMD00495881,2013-11-04
SAMD00495882,2013-12-16
SAMD00495885,2013-07-22
SAMD00495889,2013-10-25
SAMD00495894,2014-05-26
SAMD00495897,2014-07-01
SAMD00495903,2014-07-07
SAMD00495906,2014-08-18
SAMD00495908,2014-08-11
SAMD00495910,2014-07-25
SAMD00495915,2014-09-12
SAMD00495922,2014-01-22
SAMD00495924,2014-09-08
SAMD00495929,2014-11-06
SAMD00495931,2014-10-28
SAMD00495936,2014-06-02
SAMD00495949,2016-04-29
SAMD00495950,2016-03-17
SAMD00495953,2016-07-08
SAMD00495954,2016-06-10
SAMD00495955,2016-06-13
SAMD00495956,2016-05-11
SAMD00495962,2016-08-10
SAMD00495964,2016-07-01
SAMD00495968,2016-08-17
SAMD00495970,2016-08-08
SAMD00495971,2016-09-15
SAMD00495982,2016-09-27
SAMD00495983,2016-10-11
SAMD00495965,2016-08-18
SAMN21554869,2021-09
SAMN22605384,2021-10
SAMN22605390,2021-10
SAMN22605401,2021-10
SAMN22605404,2021-10
SAMN22657183,2021-09
SAMN22657137,2021-10
SAMN23135562,2021-11
SAMN23135601,2021-11
SAMN24286949,2021-12
SAMN24286931,2021-12
SAMN24286947,2021-12
SAMN25638256,2022-01
SAMN25937325,2022-01
SAMN26722549,2020-07-13
SAMN26722546,2020-01-31
SAMN26722544,2020-01-31
SAMN26797683,2022-03
SAMN26855445,2022-03
SAMN26855442,2022-03
SAMN26855376,2022-03
SAMN26977539,2022-03
SAMN27023994,2022-03
SAMN27024011,2022-03
SAMN27401674,2019-05-03
SAMN27401671,2019-09-14
SAMN27401669,2019-09-07
