,sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read,clade
0,SAMEA4644816,ERR7420525,2014-03,2014-03-01,2014-03-31,United Kingdom,,Caecal Content,ILLUMINA,Illumina HiSeq 2000,WGS,2014,03,,,,False,Clade B
1,SAMD00127153,DRR138473,2018-02-07,2018-02-07,2018-02-07,Thailand:Bangkok,TM61,,ILLUMINA,Illumina MiSeq,WGS,2018,02,07,,,False,Clade B
2,SAMD00126364,DRR148127,2016-07-29,2016-07-28,2016-07-29,missing,TUM18539,,ILLUMINA,Illumina MiSeq,WGS,2016,07,29,,,False,Clade C1
3,SAMD00126371,DRR148134,2016-09-12,2016-09-11,2016-09-12,missing,TUM18546,,ILLUMINA,Illumina MiSeq,WGS,2016,09,12,,,False,Clade C1
4,SAMD00126376,DRR148139,2016-10-07,2016-10-06,2016-10-07,missing,TUM18551,,ILLUMINA,Illumina MiSeq,WGS,2016,10,07,,,False,Clade C1
5,SAMD00126377,DRR148140,2016-10-21,2016-10-20,2016-10-21,missing,TUM18552,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
6,SAMD00126378,DRR148141,2016-10-21,2016-10-20,2016-10-21,missing,TUM18553,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
7,SAMD00126383,DRR148146,2016-10-21,2016-10-20,2016-10-21,missing,TUM18558,,ILLUMINA,Illumina MiSeq,WGS,2016,10,21,,,False,Clade C1
8,SAMD00126392,DRR148155,2016-12-15,2016-12-15,2016-12-15,missing,TUM18567,,ILLUMINA,Illumina MiSeq,WGS,2016,12,15,,,False,Clade C1
9,SAMD00126395,DRR148158,2017-01-06,2017-01-06,2017-01-06,missing,TUM18570,,ILLUMINA,Illumina MiSeq,WGS,2017,01,06,,,False,Clade C1
10,SAMD00126398,DRR148161,2017-01-12,2017-01-12,2017-01-12,missing,TUM18573,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
11,SAMD00126400,DRR148163,2017-01-12,2017-01-12,2017-01-12,missing,TUM18575,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
12,SAMD00126401,DRR148164,2017-01-12,2017-01-12,2017-01-12,missing,TUM18576,,ILLUMINA,Illumina MiSeq,WGS,2017,01,12,,,False,Clade C1
