sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMD00013048,DRR015998,,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00009116,DRR015999,,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00012948,DRR016000,,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMD00006378,DRR016006,,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS
SAMEA5615265,ERR3330632,2016,2016-01-01,2016-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615333,ERR3330980,2016,2016-01-01,2016-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615431,ERR3331085,2016,2016-01-01,2016-12-31,Netherlands,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA5615525,ERR3331174,2017,2017-01-01,2017-12-31,,,,ILLUMINA,Illumina MiSeq,WGS
SAMEA8796538,ERR5951579,,,,,,,ILLUMINA,NextSeq 500,WGS
SAMN16351982,SRR12765138,missing,,,USA,PNUSAE061532,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN16917616,SRR13147427,2020,2020-01-01,2020-12-31,USA,PNUSAE064764,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN17487044,SRR13500288,missing,,,USA,PNUSAE067034,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN17730375,SRR13605962,missing,,,USA,PNUSAE067330,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN19227895,SRR14559767,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1176765,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN19516084,SRR14720239,2021,2021-01-01,2021-12-31,missing,PNUSAE073558,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN19650924,SRR14773641,missing,,,USA,PNUSAE074280,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN19713244,SRR14821308,missing,,,USA,PNUSAE074561,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN19904578,SRR14928991,2021-06,2021-05-31,2021-06-30,United Kingdom: United Kingdom,1229711,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN19905439,SRR14930128,missing,,,USA,PNUSAE075410,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN20010192,SRR15030688,2021,2021-01-01,2021-12-31,USA,PNUSAE075993,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN20023863,SRR15031297,missing,,,missing,PNUSAE075925,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN20550623,SRR15338036,2021-01,2021-01-01,2021-01-31,United Kingdom: United Kingdom,1070647,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN20550988,SRR15338055,2021-05,2021-04-30,2021-05-31,United Kingdom: United Kingdom,1180044,human,ILLUMINA,Illumina HiSeq 2500,WGS
